Year,cash,S&P 500,tax-exempt bonds,S&P 500,S&P 500,Cash
2025,100,10000,2000,10000,2000,0
2026,100,9990,1992,9990,1998,70000
2027,100,98125.07686100001,42053.604369,9980.01,8998.102,1000
2028,100,140157.1852460024,60067.3651054296,9970.02999,15993.304528,1000
2029,100,182877.7306846826,78376.1702934354,9960.059960010001,22983.613113661,1000
2030,100,226285.4046360565,96979.4591297385,9950.09990004999,29969.033281303393,1000
2031,100,270378.90104521473,115876.67187652059,9940.14980014994,36949.57054991237,1000
2032,100,315156.91633859894,135067.24985939954,9930.20965034979,43925.230433143304,1000
2033,100,360618.1494192873,154550.63546540885,9920.27944069944,50896.01843932714,1000
2034,100,406761.30166228884,174326.27214098093,9910.35916125874,57861.94007147578,1000
2035,100,453585.07690984674,194393.6043899343,9900.448802097482,64823.00082728745,1000
2036,100,501088.1814667505,214752.0777714645,9890.548353295384,71779.20619915207,1000
2037,100,500587.0932852838,213893.06946037864,9880.657804942088,71707.42699295293,78213.43492933718
2038,100,500086.5061919985,213037.49718253713,9870.777147137145,71635.71956595997,156526.53888315315
2039,100,499586.4196858065,212185.34719380699,9860.906369990009,71564.083846394,235939.31176215527
2040,100,499086.8332661207,211336.60580503175,9851.04546362002,71492.51976254761,316451.7534670211
2041,100,498587.74643285456,210491.25938181163,9841.1944181564,71421.02724278507,398063.86389839835
2042,100,498089.1586864217,209649.2943442844,9831.353223738242,71349.60621554228,480775.64295690507
2043,100,497591.0695277353,208810.69716690725,9821.521870514503,71278.25660932674,564587.0905431294
2044,100,497093.47845820757,207975.45437823964,9811.70034864399,71206.97835271741,649498.2065576295
2045,100,496596.38497974933,207143.55256072668,9801.888648295346,71135.7713743647,735508.990900934
2046,100,496099.7885947696,206314.97835048375,9792.08675964705,71064.63560299034,822619.4434735414
2047,100,495603.68880617485,205489.7184370818,9782.294672887403,70993.57096738735,910829.5641759207
2048,100,495108.08511736867,204667.7595633335,9772.512378214517,70922.57739641996,1000139.3529085106
2049,100,494612.9770322513,203849.08852508018,9762.739865836302,70851.65481902355,1090548.8095717204
2050,100,494118.36405521905,203033.69217097986,9752.977125970465,70780.80316420452,1182057.9340659291
2051,100,493624.2456911638,202221.55740229593,9743.224148844494,74179.71943490276,1274666.726291486
2052,100,493130.62144547264,201412.67117268674,9733.48092469565,76358.15269845244,1367958.8224998473
2053,100,492637.49082402716,200607.020487996,9723.747443770955,77317.33331263348,1462496.636331071
2054,100,492144.8533332031,199804.59240604402,9714.023696327184,77058.49040783038,1558280.1665004438
2055,100,491652.70847986994,199005.37403641985,9704.309672630856,75582.85188826063,1655309.4117228677
2056,100,491161.0557713901,198209.35254027418,9694.605362958226,72891.6444332017,1753584.3707128584
2057,100,490669.8947156187,197416.51513011308,9684.910757595268,68986.09349821688,1853105.042184546
2058,100,490179.2248209031,196626.84906959263,9675.225846837673,63867.42331637989,1953871.4248516748
2059,100,489689.0455960822,195840.34167331425,9665.550620990836,57536.856899498234,2055883.517427604
2060,100,489591.12125636847,195056.980306621,9655.885070369846,49603.459176590266,2159141.318625306
2061,100,489491.70230153966,194276.7523853945,9646.229185299477,40462.593873792626,2263644.827157367
2062,100,489390.7364696048,193499.64537585294,9636.582956114178,40422.13127991883,2369394.041735988
2063,100,489286.47836445936,192725.64679434954,9626.946373158064,40381.70914863891,2475152.1691798605
2064,100,489180.57391454943,191954.74420717213,9617.319426784905,40341.32743949027,2582010.37065318
2065,100,489072.9583926512,191186.92523034345,9607.70210735812,40300.98611205078,2689968.4487422216
2066,100,488963.56155037385,190422.17752942207,9598.094405250762,40260.685125938726,2674026.4113196866
2067,100,488850.3599181746,189660.4888193044,9588.496310845512,40220.424440812785,2668963.7156897513
2068,100,488735.2403420436,188901.84686402717,9578.907814534667,40180.20401637197,2663899.481245127
2069,100,488616.0129387792,188146.23947657106,9569.328906720131,40140.0238123556,2658833.7075241697
2070,100,488494.7053115069,187393.65451866479,9559.759577813411,40099.883788543244,2653766.394065096
2071,100,488368.9276370411,186644.07990059012,9550.199818235598,40059.7839047547,2648697.5404059845
2072,100,488238.5031477386,185897.50358098777,9540.649618417363,40019.72412084995,2643627.146084775
2073,100,488103.23763239296,185153.91356666383,9531.108968798946,39979.704396729096,2638555.2106392696
2074,100,487960.37804706336,184413.2979123972,9521.577859830148,39939.72469233237,2633481.73360713
2075,100,487812.3087065547,183675.6447207476,9512.056281970317,39899.78496764004,2628406.714525881
2076,100,487656.02945905365,182940.94214186462,9502.544225688347,39859.8851826724,2623330.152932908
2077,100,487491.2578022469,182209.17837329715,9493.041681462659,39820.02529748972,2618252.0483654565
2078,100,487317.6819067455,181480.34165980396,9483.548639781196,39780.20527219223,2613172.400360635
2079,100,487134.9553684574,180754.42029316476,9474.065091141416,39740.42506692004,2608091.208455412
2080,100,486939.58666645,180031.4026119921,9464.591026050275,39700.68464185312,2603008.4721866176
2081,100,486731.3002431059,179311.27700154413,9455.126435024225,39660.98395721127,2597924.1910909424
2082,100,486506.6356083684,178594.03189353796,9445.6713085892,39621.32297325406,2592838.3647049386
2083,100,486268.75632208574,177879.6557659638,9436.225637280611,39581.701650280804,2587750.992565019
2084,100,486014.08564458764,177168.13714289994,9426.78941164333,39542.11994863052,2582662.0742074577
2085,100,485742.6403672653,176459.46459432834,9417.362622231687,39502.57782868189,2577571.609168389
2086,100,485451.35070944007,175753.62673595102,9407.945259609456,39463.07525085321,2572479.5969838086
2087,100,485140.90704301844,175050.6122290072,9398.537314349847,39423.61217560236,2567386.0371895726
2088,100,484812.0229969467,174350.40978009117,9389.138777035498,39384.18856342675,2562290.9293213985
2089,100,484465.43819711666,173653.0081409708,9379.749638258461,39344.80437486333,2557194.2729148637
2090,100,484099.45323591976,172958.39610840692,9370.369888620204,39305.45957048846,2552096.067505407
2091,100,483715.80462187965,172266.5625239733,9360.999518731584,39266.154110917974,2546996.312628328
2092,100,483316.1871942589,171577.4962738774,9351.638519212853,39226.887956807055,2541895.0078187855
2093,100,482900.5599446509,170891.18628878187,9342.28688069364,39187.66106885025,2536792.1526118
2094,100,482471.46341201843,170207.62154362674,9332.944593812947,39148.4734077814,2531687.7465422526
2095,100,482031.16267271596,169526.79105745224,9323.611649219134,39109.32493437362,2526581.7891448843
2096,100,481581.66321149917,168848.68389322242,9314.288037569915,39070.21560943924,2521474.2799542965
2097,100,481124.0019170053,168173.28915764953,9304.973749532344,39031.1453938298,2516365.218504952
2098,100,480660.2745468829,167500.59600101894,9295.668775782811,38992.11424843597,2511254.604331172
2099,100,480192.52145076427,166830.59361701488,9286.373107007028,38953.122134187535,2506142.4369671405
2100,100,479721.3639542133,166163.27124254682,9277.086733900021,38914.169012053346,2501028.7159468997
2101,100,479247.87364191405,165498.61815757662,9267.809647166121,38875.25484304129,2495913.4408043525
2102,100,478772.8539818952,164836.62368494633,9258.541837518955,38836.37958819825,2490796.611073263
2103,100,478296.89993699535,164177.27719020654,9249.283295681436,38797.543208610055,2485678.226287254
2104,100,477820.51982723415,163520.56808144573,9240.034012385755,38758.745665401446,2480558.2859798092
2105,100,477343.94938795635,162866.48580911994,9230.79397837337,38719.986919736046,2475436.789684272
